lyhenne,Kausi,Joukkue ID,Koko nimi,Runkosarja Lohko ID
TPNMP,2000,2,Taiston Pentit Nokia Mobile Phones,NULL
LSD,2000,4,Labra Sober Drunks,NULL
PKMM,2000,7,PikaKyykkäMetalliMiehet,NULL
SMS,2000,3,Salt Mine Slaves,NULL
YJ,2000,1,Night Train,NULL
KCK,2000,5,KC Kåbnä,NULL
LMTVO,2000,8,Luolamiesten Työväenopisto,NULL
ITKK99,2000,6,Ikuisesti Taistelevat Komartekin Komeetat -99,NULL
ITKK99,2001,6,Ikuisesti Taistelevat Komartekin Komeetat -99,NULL
KCK,2001,5,KC Kåbnä,NULL
SMS,2001,3,Salt Mine Slaves,NULL
TPNMP,2001,2,Taiston Pentit Nokia Mobile Phones,NULL
PKMM,2001,7,PikaKyykkäMetalliMiehet,NULL
LMTVO,2001,8,Luolamiesten Työväenopisto,NULL
LSD,2001,4,Labra Sober Drunks,NULL
OlPo,2001,9,Olvipojat CXX Ltd.,NULL
ITKK,2002,6,Iloisena taiteilevat kyykän kuninkaat,NULL
KCK,2002,5,KC Kåbnä,NULL
SMS,2002,3,Salt Mine Slaves,NULL
AP,2002,10,Aalef Pentit,NULL
PKMM,2002,7,PikaKyykkäMetalliMiehet,NULL
LMTVO,2002,8,Luolamiesten Työväenopisto,NULL
LSD,2002,4,Labra Sober Drunks,NULL
OlPo,2002,9,Olvipojat CXX Ltd.,NULL
PKMM,2003,7,PikaKyykkäMetalliMiehet,NULL
AP,2003,10,Aalef Pentit,NULL
DRA,2003,11,Draconis,NULL
KCK,2003,5,KC Kåbnä,NULL
ITKK,2003,6,Iloisena taiteilevat kyykän kuninkaat,NULL
LMTVO,2003,8,Luolamiesten Työväenopisto,NULL
LSD,2003,4,Labra Sober Drunks,NULL
OLPO,2003,9,Olvipojat,NULL
ITKK,2004,6,Iloisena taiteilevat kyykän kuninkaat,NULL
KCK,2004,5,KC Kåbnä,NULL
DRA,2004,11,Draconis,NULL
PLEE,2004,12,Olvin Pentit,NULL
PKMM,2004,7,PikaKyykkäMetalliMiehet,NULL
LMTVO,2004,8,Luolamiesten Työväenopisto,NULL
LSD,2004,4,Labra Sober Drunks,NULL
VTTU,2004,13,Viiniä Tuottavien Teekkareiden Urheilijat,NULL
ITKK,2005,6,Iloisena taiteilevat kyykän kuninkaat,NULL
KCK,2005,5,KC Kåbnä,NULL
DRA,2005,11,Draconis,NULL
PLEE,2005,12,Olvin Pentit,NULL
PKMM,2005,7,PikaKyykkäMetalliMiehet,NULL
LMTVO,2005,8,Luolamiesten Työväenopisto,NULL
GPK,2005,14,G-pisteen kyykkääjät,NULL
VTTU,2005,13,Viiniä Tuottavien Teekkareiden Urheilijat,NULL
ITKK,2006,6,Iloisena taiteilevat kyykän kuninkaat,NULL
KCK,2006,5,KC Kåbnä,NULL
DRA,2006,11,Draconis,NULL
MULK,2006,15,Melkoisen urheat Labran kunkut,NULL
PKMM,2006,7,PikaKyykkäMetalliMiehet,NULL
LMTVO,2006,8,Luolamiesten Työväenopisto,NULL
GPK,2006,14,G-pisteen kyykkääjät,NULL
VTTU,2006,13,Viiniä Tuottavien Teekkareiden Urheilijat,NULL
ITKK,2007,6,Iloisena taiteilevat kyykän kuninkaat,NULL
DRA,2007,11,Draconis,NULL
LMTVO,2007,8,Luolamiesten Työväenopisto,NULL
GPK,2007,14,G-pisteen kyykkääjät,NULL
PKMM,2007,7,PikaKyykkäMetalliMiehet,NULL
VTTU,2007,13,Viiniä Tuottavien Teekkareiden Urheilijat,NULL
DRA,2008,11,Draconis,NULL
VTTU,2008,13,Viiniä Tuottavien Teekkareiden Urheilijat,NULL
LMTVO,2008,8,Luolamiesten Työväenopisto,NULL
GPK,2008,14,G-pisteen kyykkääjät,NULL
PKMM,2008,7,PikaKyykkäMetalliMiehet,NULL
KAMU,2008,16,Karvamuuri,NULL
GPK,2009,14,G-pisteen kyykkääjät,NULL
Dra,2009,11,Draconis,NULL
MULK,2009,15,Melkoisen urheat Labran kunkut,NULL
GSKC,2009,25,GSKC Pallogrilli,NULL
PN,2009,26,Panikkos Naikkos,NULL
LMTVO,2009,8,Luolamiesten Työväenopisto,NULL
