Kausi,Etunimi,Sukunimi,Joukkue,Joukkue ID
2000,Jussi,Ahonen,ITKK99,6
2000,Anssi,Jääskeläinen,ITKK99,6
2000,Keijo,Karjalainen,ITKK99,6
2000,Raine,Koponen,ITKK99,6
2000,Mikko,Kuokka,ITKK99,6
2000,Ville,Latva,ITKK99,6
2000,Lasse,Pesonen,ITKK99,6
2000,Mikko,Kuusio,ITKK99,6
2000,Juha,Väänänen,ITKK99,6
2000,Mikko,Huhtanen,KCK,5
2000,Ossi,Hämäläinen,KCK,5
2000,Miika,Kuusinen,KCK,5
2000,Jani,Manninen,KCK,5
2000,Janne,Pulli,KCK,5
2000,Pasi,Sirén,KCK,5
2000,Ilkka,Uuhiniemi,KCK,5
2000,Sanna,Venäläinen,KCK,5
2000,Annastiina,Kerkkänen,LMTVO,8
2000,Jenni,Korpi,LMTVO,8
2000,Jaakko,Laitinen,LMTVO,8
2000,Jani,Niemeläinen,LMTVO,8
2000,Jari,Nousiainen,LMTVO,8
2000,Mikko,Peipponen,LMTVO,8
2000,Aki,Penttinen,LMTVO,8
2000,Juha,Varis,LMTVO,8
2000,Teemu,Hiltunen,LSD,4
2000,Timo,Heikka,LSD,4
2000,Riku,Kemppainen,LSD,4
2000,Sami,Mannelin,LSD,4
2000,Antti,Piirainen,LSD,4
2000,Mikko,Piironen,LSD,4
2000,Pekka,Saarelainen,LSD,4
2000,Jari,Välimäki,LSD,4
2000,Petri,Heinilä,PKMM,7
2000,Kari,Heikkinen,PKMM,7
2000,Pekka,Jäppinen,PKMM,7
2000,Joni,Kämäräinen,PKMM,7
2000,Ilmari,Laakkonen,PKMM,7
2000,Marko,Parviainen,PKMM,7
2000,Asko,Rouvinen,PKMM,7
2000,Pasi,Tiihonen,PKMM,7
2000,Pasi,Kemppainen,SMS,3
2000,Tomi,Lapinlampi,SMS,3
2000,Pekka,Riiali,SMS,3
2000,Jarkko,Sonninen,SMS,3
2000,Ilkka,Toivanen,SMS,3
2000,Tero,Turtiainen,SMS,3
2000,Timo,Väkevä,SMS,3
2000,Reni,Waegelein,SMS,3
2000,Markku,Harmaala,TPNMP,2
2000,Mika,Alitalo,TPNMP,2
