kausi,pvm,klo,k1,k2,v1,v2,koti_joukkue,vieras_joukkue,koti_e1_hp1_pelaaja,koti_e1_hp2_pelaaja,koti_e1_hp3_pelaaja,koti_e1_hp4_pelaaja,koti_e2_hp1_pelaaja,koti_e2_hp2_pelaaja,koti_e2_hp3_pelaaja,koti_e2_hp4_pelaaja,vieras_e1_hp1_pelaaja,vieras_e1_hp2_pelaaja,vieras_e1_hp3_pelaaja,vieras_e1_hp4_pelaaja,vieras_e2_hp1_pelaaja,vieras_e2_hp2_pelaaja,vieras_e2_hp3_pelaaja,vieras_e2_hp4_pelaaja,koti_e1_1,koti_e1_2,koti_e1_3,koti_e1_4,koti_e1_5,koti_e1_6,koti_e1_7,koti_e1_8,koti_e1_9,koti_e1_10,koti_e1_11,koti_e1_12,koti_e1_13,koti_e1_14,koti_e1_15,koti_e1_16,vieras_e1_1,vieras_e1_2,vieras_e1_3,vieras_e1_4,vieras_e1_5,vieras_e1_6,vieras_e1_7,vieras_e1_8,vieras_e1_9,vieras_e1_10,vieras_e1_11,vieras_e1_12,vieras_e1_13,vieras_e1_14,vieras_e1_15,vieras_e1_16,koti_e2_1,koti_e2_2,koti_e2_3,koti_e2_4,koti_e2_5,koti_e2_6,koti_e2_7,koti_e2_8,koti_e2_9,koti_e2_10,koti_e2_11,koti_e2_12,koti_e2_13,koti_e2_14,koti_e2_15,koti_e2_16,vieras_e2_1,vieras_e2_2,vieras_e2_3,vieras_e2_4,vieras_e2_5,vieras_e2_6,vieras_e2_7,vieras_e2_8,vieras_e2_9,vieras_e2_10,vieras_e2_11,vieras_e2_12,vieras_e2_13,vieras_e2_14,vieras_e2_15,vieras_e2_16,tyyppi,Pelisarja Id,ksanktio,vsanktio,Kenttä nro.
2000,1999-12-07,NULL,34,34,27,27,TPNMP,LMTVO,Saku Ruottinen,Jakub Pavelek,Pekka Valento,Mikko Ollila,Saku Ruottinen,Jakub Pavelek,Markku Harmaala,Pasi Rautiainen,Juha Varis,Jani Niemeläinen,Jari Nousiainen,Aki Penttinen,Juha Varis,Jani Niemeläinen,Jari Nousiainen,Aki Penttinen,2,1,2,2,2,1,2,1,1,1,2,1,h,h,1,h,4,4,2,2,2,1,1,0,3,2,1,1,1,0,0,0,2,2,2,2,1,1,2,2,2,2,2,1,−1,−1,1,1,2,3,3,3,1,1,2,1,2,h,2,h,h,1,1,1,1,NULL,NULL,NULL,
2000,1999-12-09,NULL,30,17,29,32,KCK,YJ,Ossi Hämäläinen,Janne Pulli,Miika Kuusinen,Mikko Huhtanen,Ossi Hämäläinen,Pasi Sirén,Jani Manninen,Mikko Huhtanen,Jussi Vihmo,Henri Mäkelä,Toni Vesansalo,Henrikki Pantsar,Jussi Vihmo,Henri Mäkelä,Toni Vesansalo,Henrikki Pantsar,6,4,1,1,1,3,0,2,1,2,1,h,1,2,0,1,3,2,0,0,2,3,1,2,3,2,3,1,0,2,1,0,−1,2,5,4,5,2,−2,−2,−1,3,2,2,1,2,−2,1,1,2,2,1,1,3,2,1,3,2,1,h,2,h,1,2,1,NULL,NULL,NULL,
2000,1999-12-09,NULL,17,25,36,9,LSD,ITKK99,Riku Kemppainen,Teemu Hiltunen,Pekka Saarelainen,Mikko Piironen,Riku Kemppainen,Teemu Hiltunen,Mikko Piironen,Pekka Saarelainen,Jussi Ahonen,Mikko Kuokka,Anssi Jääskeläinen,Ville Latva,Jussi Ahonen,Mikko Kuusio,Anssi Jääskeläinen,Juha Väänänen,4,1,1,1,4,2,3,1,2,0,2,1,1,0,5,3,5,2,4,3,3,4,1,h,2,3,2,0,2,0,2,4,−1,3,3,2,6,h,3,1,1,−1,3,2,2,1,−1,−1,h,1,0,2,2,1,2,4,1,2,2,0,2,2,1,h,1,NULL,NULL,NULL,
2000,2000-01-13,NULL,28,15,30,29,PKMM,SMS,Ilmari Laakkonen,Joni Kämäräinen,Asko Rouvinen,Pekka Jäppinen,Ilmari Laakkonen,Joni Kämäräinen,Asko Rouvinen,Pekka Jäppinen,Reni Waegelein,Tero Turtiainen,Tomi Lapinlampi,Jarkko Sonninen,Reni Waegelein,Tero Turtiainen,Tomi Lapinlampi,Pekka Riiali,2,1,2,0,3,0,2,1,2,0,0,3,0,2,1,1,3,2,1,2,2,3,2,h,1,3,0,1,3,0,1,h,3,3,2,2,−1,−1,1,5,1,2,2,1,1,1,2,h,2,2,1,1,0,1,3,0,1,0,3,h,2,0,2,2,1,NULL,NULL,NULL,
2000,2000-01-18,NULL,15,45,31,15,SMS,TPNMP,Reni Waegelein,Jarkko Sonninen,Tomi Lapinlampi,Tero Turtiainen,Reni Waegelein,Jarkko Sonninen,Tomi Lapinlampi,Pekka Riiali,Saku Ruottinen,Saku Laapio,Markku Harmaala,Pasi Rautiainen,Saku Ruottinen,Saku Laapio,Jakub Pavelek,Mika Alitalo,3,3,0,1,3,3,h,1,2,4,3,0,3,3,h,1,2,2,5,0,2,h,1,4,2,5,0,1,h,2,h,h,2,2,2,3,h,1,−1,1,4,1,2,h,1,1,−1,2,6,1,2,3,2,1,3,2,3,h,1,2,2,1,2,h,1,NULL,NULL,NULL,
2000,2000-01-18,NULL,33,20,28,21,LMTVO,PKMM,Juha Varis,Mikko Peipponen,Jari Nousiainen,Aki Penttinen,Juha Varis,Mikko Peipponen,Jani Niemeläinen,Aki Penttinen,Ilmari Laakkonen,Pekka Jäppinen,Marko Parviainen,Pasi Tiihonen,Ilmari Laakkonen,Marko Parviainen,Asko Rouvinen,Pekka Jäppinen,2,2,2,1,2,2,3,1,1,1,0,0,h,2,4,1,0,0,2,3,4,3,2,1,1,2,3,2,2,0,1,h,3,3,3,2,2,3,1,1,h,4,1,1,1,3,0,1,1,2,2,3,1,4,4,2,h,2,h,3,2,h,2,h,1,NULL,NULL,NULL,
2000,2000-01-20,NULL,16,24,32,30,YJ,LSD,Jussi Vihmo,Henri Mäkelä,Toni Vesansalo,Henrikki Pantsar,Jussi Vihmo,Henri Mäkelä,Toni Vesansalo,Antti Kokkonen,Riku Kemppainen,Teemu Hiltunen,Pekka Saarelainen,Sami Mannelin,Riku Kemppainen,Teemu Hiltunen,Pekka Saarelainen,Sami Mannelin,3,3,4,2,2,3,−2,−2,3,1,2,2,1,1,1,−2,4,2,1,3,1,3,2,0,0,4,0,1,0,0,2,2,1,3,3,2,1,3,2,1,1,2,0,2,1,h,3,h,4,1,1,2,h,h,2,2,2,3,1,3,3,h,h,h,1,NULL,NULL,NULL,
2000,2000-01-20,NULL,44,21,18,29,ITKK99,KCK,Jussi Ahonen,Keijo Karjalainen,Lasse Pesonen,Raine Koponen,Jussi Ahonen,Ville Latva,Lasse Pesonen,Mikko Kuusio,Ossi Hämäläinen,Pasi Sirén,Janne Pulli,Miika Kuusinen,Ossi Hämäläinen,Pasi Sirén,Ilkka Uuhiniemi,Miika Kuusinen,1,4,h,h,1,1,h,h,4,1,h,4,1,4,h,h,1,4,5,0,3,3,3,3,0,0,0,2,3,0,1,2,2,4,2,2,1,1,−1,1,3,3,1,4,2,0,−1,−1,0,1,6,h,2,h,h,1,3,4,1,h,1,3,2,2,1,NULL,NULL,NULL,
2000,2000-01-25,NULL,32,12,15,31,LMTVO,SMS,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,Juha Varis,Jari Nousiainen,Mikko Peipponen,Aki Penttinen,Reni Waegelein,Tomi Lapinlampi,Timo Väkevä,Jarkko Sonninen,Reni Waegelein,Tomi Lapinlampi,Timo Väkevä,Jarkko Sonninen,3,0,2,2,2,1,3,1,1,2,3,0,2,0,1,0,1,2,2,2,1,6,2,2,2,1,2,3,0,2,1,1,4,4,1,1,h,1,h,6,4,1,3,1,h,3,2,1,3,3,2,3,−2,1,1,3,2,1,2,h,−2,−2,2,2,1,NULL,NULL,NULL,
2000,2000-01-25,NULL,26,32,25,37,TPNMP,PKMM,Pasi Rautiainen,Mikko Ollila,Jaakko Akkanen,Jakub Pavelek,Pasi Rautiainen,Mikko Ollila,Jaakko Akkanen,Jakub Pavelek,Ilmari Laakkonen,Marko Parviainen,Asko Rouvinen,Pasi Tiihonen,Ilmari Laakkonen,Marko Parviainen,Joni Kämäräinen,Pekka Jäppinen,4,3,1,0,3,0,2,2,4,5,0,1,0,1,2,0,2,2,2,2,3,2,1,2,0,2,2,0,2,h,1,3,2,3,1,3,−2,−2,2,1,2,h,2,1,2,−2,2,3,h,1,4,4,2,h,h,2,1,h,3,0,1,1,1,1,1,NULL,NULL,NULL,
